iter	MultiClass
0	1.069037368
1	1.045306558
2	1.01965128
3	0.9954434258
4	0.9734878038
5	0.9527650018
6	0.9328728683
7	0.9155449246
8	0.8981739396
9	0.8828851033
10	0.8685273225
11	0.8552002972
12	0.8424419523
13	0.8314994606
14	0.8187523224
15	0.8083526142
16	0.7991181695
17	0.7898721359
18	0.7806003353
19	0.772235877
20	0.7632779547
21	0.7556667716
22	0.7496640867
23	0.7428043361
24	0.7366192308
25	0.7303751363
26	0.7235258719
27	0.7182144134
28	0.7141355703
29	0.7087234594
30	0.7037462099
31	0.6988877788
32	0.6936111225
33	0.6899766701
34	0.6853462127
35	0.6810991519
36	0.6784189828
37	0.6749938349
38	0.6710471973
39	0.6680258147
40	0.6646806229
41	0.6618456552
42	0.6605284569
43	0.6573612974
44	0.6539310104
45	0.6517446332
46	0.6495147792
47	0.6470786565
48	0.6461101453
49	0.6435931587
50	0.6422201685
51	0.6398987673
52	0.6375139624
53	0.6350536528
54	0.6336623113
55	0.6319238986
56	0.630437151
57	0.6287748625
58	0.6271357656
59	0.6263020971
60	0.6243070643
61	0.6224596973
62	0.6215162628
63	0.6200708388
64	0.6187654036
65	0.6173881795
66	0.6159865352
67	0.6142775284
68	0.6127820199
69	0.6116703047
70	0.6106361353
71	0.6095775009
72	0.6087073613
73	0.6071861201
74	0.606709715
75	0.6057272472
76	0.6050387624
77	0.6040440631
78	0.6028353927
79	0.6018997644
80	0.6011434534
81	0.5998187082
82	0.5992065961
83	0.5983234206
84	0.597596841
85	0.5966891689
86	0.5961643284
87	0.5954404676
88	0.5947316396
89	0.593829239
90	0.5928135635
91	0.5922497701
92	0.5914827309
93	0.5907116906
94	0.5902968494
95	0.5895147841
96	0.5883812126
97	0.5879500953
98	0.5875704962
99	0.5870547649
100	0.5866548886
101	0.5863318755
102	0.5855727385
103	0.5849189044
104	0.5842302449
105	0.5835948013
106	0.5830951837
107	0.5822896908
108	0.5819895831
109	0.5810612096
110	0.5806387275
111	0.5800778309
112	0.5797802431
113	0.5788589647
114	0.5786693595
115	0.5783166019
116	0.5776892849
117	0.5770330109
118	0.576336913
119	0.575758714
120	0.5754705472
121	0.5752105444
122	0.5743247361
123	0.5740388668
124	0.5731547516
125	0.5728451055
126	0.5723491738
127	0.5716432738
128	0.5709551437
129	0.5703867949
130	0.569899563
131	0.5694148083
132	0.5689161964
133	0.5685025512
134	0.568093571
135	0.5679715336
136	0.5675311688
137	0.5672385977
138	0.5667134518
139	0.5660888455
140	0.565866264
141	0.5655930296
142	0.565153072
143	0.5647056508
144	0.5639981622
145	0.5634580421
146	0.5632353323
147	0.5629514373
148	0.562579021
149	0.5624208268
150	0.5621881983
151	0.5617528939
152	0.5613507723
153	0.5608769639
154	0.5600871419
155	0.5597010939
156	0.5594139058
157	0.5589889213
158	0.5585495254
159	0.5582021649
160	0.5579414678
161	0.5576154492
162	0.5573545482
163	0.557056225
164	0.5567488141
165	0.5566095681
166	0.5563560543
167	0.556152128
168	0.5558517273
169	0.5556246407
170	0.5548326211
171	0.5542365332
172	0.5540207733
173	0.5537013551
174	0.5532514635
175	0.5529189649
176	0.5525517585
177	0.5522240841
178	0.5519191543
179	0.5517605843
180	0.5513288141
181	0.5508935283
182	0.5504960111
183	0.5502011261
184	0.5498685281
185	0.5496469169
186	0.5494509253
187	0.5491400218
188	0.5487582121
189	0.5483515396
190	0.5478645528
191	0.5472845728
192	0.5469215956
193	0.5468074441
194	0.5466380609
195	0.5464766204
196	0.5461935399
197	0.5459398341
198	0.5456361488
199	0.54541727
