iter	Passed	Remaining
0	5	1058
1	9	982
2	14	942
3	18	927
4	23	930
5	28	913
6	32	903
7	37	888
8	41	880
9	45	869
10	50	861
11	54	850
12	58	842
13	63	837
14	67	831
15	71	824
16	76	818
17	80	813
18	84	805
19	88	799
20	93	792
21	97	789
22	100	776
23	105	771
24	109	767
25	113	761
26	118	757
27	122	752
28	126	745
29	130	742
30	135	739
31	140	736
32	144	731
33	149	727
34	153	722
35	157	717
36	161	713
37	166	709
38	170	705
39	175	701
40	179	697
41	184	692
42	188	688
43	192	683
44	197	679
45	201	674
46	205	669
47	210	665
48	214	660
49	218	656
50	222	651
51	227	646
52	231	642
53	235	637
54	240	633
55	244	629
56	249	625
57	253	620
58	257	616
59	262	612
60	266	607
61	271	603
62	274	597
63	279	592
64	283	588
65	287	583
66	291	578
67	295	574
68	300	570
69	304	565
70	308	561
71	313	556
72	317	552
73	321	548
74	326	544
75	330	539
76	335	535
77	339	531
78	343	526
79	348	522
80	353	518
81	357	514
82	362	510
83	366	506
84	370	501
85	375	497
86	379	492
87	384	489
88	389	485
89	393	481
90	399	478
91	403	474
92	408	469
93	412	465
94	417	461
95	421	456
96	425	452
97	430	447
98	434	443
99	438	438
100	443	434
101	446	429
102	451	424
103	455	420
104	460	416
105	464	411
106	468	407
107	473	403
108	477	398
109	481	393
110	485	389
111	490	385
112	494	380
113	498	376
114	503	371
115	506	366
116	511	362
117	515	358
118	520	354
119	524	349
120	527	344
121	534	341
122	537	336
123	541	331
124	545	327
125	574	337
126	579	332
127	583	328
128	587	323
129	592	318
130	596	314
131	601	309
132	605	305
133	610	300
134	615	296
135	619	291
136	623	286
137	628	282
138	631	277
139	636	272
140	638	267
141	640	261
142	650	259
143	657	255
144	659	250
145	662	245
146	665	239
147	667	234
148	671	229
149	673	224
150	675	219
151	677	214
152	680	208
153	682	203
154	684	198
155	687	193
156	689	188
157	691	183
158	692	178
159	694	173
160	696	168
161	698	163
162	701	159
163	703	154
164	705	149
165	707	144
166	709	140
167	711	135
168	713	130
169	715	126
170	718	121
171	721	117
172	722	112
173	724	108
174	726	103
175	729	99
176	731	95
177	734	90
178	736	86
179	738	82
180	739	77
181	742	73
182	743	69
183	745	64
184	747	60
185	751	56
186	753	52
187	757	48
188	759	44
189	761	40
190	763	35
191	765	31
192	767	27
193	769	23
194	770	19
195	772	15
196	774	11
197	776	7
198	778	3
199	780	0
